a,b,c
1720,2220,2720
1721,2221,2721
1722,2222,2722
1723,2223,2723
1724,2224,2724
1725,2225,2725
1726,2226,2726
1727,2227,2727
1728,2228,2728
1729,2229,2729
1730,2230,2730
1731,2231,2731
1732,2232,2732
1733,2233,2733
1734,2234,2734
1735,2235,2735
1736,2236,2736
1737,2237,2737
1738,2238,2738
1739,2239,2739
1740,2240,2740
1741,2241,2741
1742,2242,2742
1743,2243,2743
1744,2244,2744
1745,2245,2745
1746,2246,2746
1747,2247,2747
1748,2248,2748
1749,2249,2749
1750,2250,2750
1751,2251,2751
1752,2252,2752
1753,2253,2753
1754,2254,2754
1755,2255,2755
1756,2256,2756
1757,2257,2757
1758,2258,2758
1759,2259,2759
1760,2260,2760
1761,2261,2761
1762,2262,2762
1763,2263,2763
1764,2264,2764
1765,2265,2765
1766,2266,2766
1767,2267,2767
1768,2268,2768
1769,2269,2769
1770,2270,2770
1771,2271,2771
1772,2272,2772
1773,2273,2773
1774,2274,2774
1775,2275,2775
1776,2276,2776
1777,2277,2777
1778,2278,2778
1779,2279,2779
1780,2280,2780
1781,2281,2781
1782,2282,2782
1783,2283,2783
1784,2284,2784
1785,2285,2785
1786,2286,2786
1787,2287,2787
1788,2288,2788
1789,2289,2789
1790,2290,2790
1791,2291,2791
1792,2292,2792
1793,2293,2793
1794,2294,2794
1795,2295,2795
1796,2296,2796
1797,2297,2797
1798,2298,2798
1799,2299,2799
1800,2300,2800
1801,2301,2801
1802,2302,2802
1803,2303,2803
1804,2304,2804
1805,2305,2805
1806,2306,2806
1807,2307,2807
1808,2308,2808
1809,2309,2809
1810,2310,2810
1811,2311,2811
1812,2312,2812
1813,2313,2813
1814,2314,2814
1815,2315,2815
1816,2316,2816
1817,2317,2817
1818,2318,2818
1819,2319,2819
1820,2320,2820
1821,2321,2821
1822,2322,2822
1823,2323,2823
1824,2324,2824
1825,2325,2825
1826,2326,2826
1827,2327,2827
1828,2328,2828
1829,2329,2829
1830,2330,2830
1831,2331,2831
1832,2332,2832
1833,2333,2833
1834,2334,2834
1835,2335,2835
1836,2336,2836
1837,2337,2837
1838,2338,2838
1839,2339,2839
1840,2340,2840
1841,2341,2841
1842,2342,2842
1843,2343,2843
1844,2344,2844
1845,2345,2845
1846,2346,2846
1847,2347,2847
1848,2348,2848
1849,2349,2849
1850,2350,2850
1851,2351,2851
1852,2352,2852
1853,2353,2853
1854,2354,2854
1855,2355,2855
1856,2356,2856
1857,2357,2857
1858,2358,2858
1859,2359,2859
1860,2360,2860
1861,2361,2861
1862,2362,2862
1863,2363,2863
1864,2364,2864
1865,2365,2865
1866,2366,2866
1867,2367,2867
1868,2368,2868
1869,2369,2869
1870,2370,2870
1871,2371,2871
1872,2372,2872
1873,2373,2873
1874,2374,2874
1875,2375,2875
1876,2376,2876
1877,2377,2877
1878,2378,2878
1879,2379,2879
1880,2380,2880
1881,2381,2881
1882,2382,2882
1883,2383,2883
1884,2384,2884
1885,2385,2885
1886,2386,2886
1887,2387,2887
1888,2388,2888
1889,2389,2889
1890,2390,2890
1891,2391,2891
1892,2392,2892
1893,2393,2893
1894,2394,2894
1895,2395,2895
1896,2396,2896
1897,2397,2897
1898,2398,2898
1899,2399,2899
1900,2400,2900
1901,2401,2901
1902,2402,2902
1903,2403,2903
1904,2404,2904
1905,2405,2905
1906,2406,2906
1907,2407,2907
1908,2408,2908
1909,2409,2909
1910,2410,2910
1911,2411,2911
1912,2412,2912
1913,2413,2913
1914,2414,2914
1915,2415,2915
1916,2416,2916
1917,2417,2917
1918,2418,2918
1919,2419,2919
1920,2420,2920
1921,2421,2921
1922,2422,2922
1923,2423,2923
1924,2424,2924
1925,2425,2925
1926,2426,2926
1927,2427,2927
1928,2428,2928
1929,2429,2929
1930,2430,2930
1931,2431,2931
1932,2432,2932
1933,2433,2933
1934,2434,2934
1935,2435,2935
1936,2436,2936
1937,2437,2937
1938,2438,2938
1939,2439,2939
1940,2440,2940
1941,2441,2941
1942,2442,2942
1943,2443,2943
1944,2444,2944
1945,2445,2945
1946,2446,2946
1947,2447,2947
1948,2448,2948
1949,2449,2949
1950,2450,2950
1951,2451,2951
1952,2452,2952
1953,2453,2953
1954,2454,2954
1955,2455,2955
1956,2456,2956
1957,2457,2957
1958,2458,2958
1959,2459,2959
1960,2460,2960
1961,2461,2961
1962,2462,2962
1963,2463,2963
1964,2464,2964
1965,2465,2965
1966,2466,2966
1967,2467,2967
1968,2468,2968
1969,2469,2969
1970,2470,2970
1971,2471,2971
1972,2472,2972
1973,2473,2973
1974,2474,2974
1975,2475,2975
1976,2476,2976
1977,2477,2977
1978,2478,2978
1979,2479,2979
1980,2480,2980
1981,2481,2981
1982,2482,2982
1983,2483,2983
1984,2484,2984
1985,2485,2985
1986,2486,2986
1987,2487,2987
1988,2488,2988
1989,2489,2989
1990,2490,2990
1991,2491,2991
1992,2492,2992
1993,2493,2993
1994,2494,2994
1995,2495,2995
1996,2496,2996
1997,2497,2997
1998,2498,2998
1999,2499,2999
2000,2500,3000
2001,2501,3001
2002,2502,3002
2003,2503,3003
2004,2504,3004
2005,2505,3005
2006,2506,3006
2007,2507,3007
2008,2508,3008
2009,2509,3009
2010,2510,3010
2011,2511,3011
2012,2512,3012
2013,2513,3013
2014,2514,3014
2015,2515,3015
2016,2516,3016
2017,2517,3017
2018,2518,3018
2019,2519,3019
2020,2520,3020
2021,2521,3021
2022,2522,3022
2023,2523,3023
2024,2524,3024
2025,2525,3025
2026,2526,3026
2027,2527,3027
2028,2528,3028
2029,2529,3029
2030,2530,3030
2031,2531,3031
2032,2532,3032
2033,2533,3033
2034,2534,3034
2035,2535,3035
2036,2536,3036
2037,2537,3037
2038,2538,3038
2039,2539,3039
2040,2540,3040
2041,2541,3041
2042,2542,3042
2043,2543,3043
2044,2544,3044
2045,2545,3045
2046,2546,3046
2047,2547,3047
2048,2548,3048
2049,2549,3049
2050,2550,3050
2051,2551,3051
2052,2552,3052
2053,2553,3053
2054,2554,3054
2055,2555,3055
2056,2556,3056
2057,2557,3057
2058,2558,3058
2059,2559,3059
2060,2560,3060
2061,2561,3061
2062,2562,3062
2063,2563,3063
2064,2564,3064
2065,2565,3065
2066,2566,3066
2067,2567,3067
2068,2568,3068
2069,2569,3069
2070,2570,3070
2071,2571,3071
2072,2572,3072
2073,2573,3073
2074,2574,3074
2075,2575,3075
2076,2576,3076
2077,2577,3077
2078,2578,3078
2079,2579,3079
2080,2580,3080
2081,2581,3081
2082,2582,3082
2083,2583,3083
2084,2584,3084
2085,2585,3085
2086,2586,3086
2087,2587,3087
2088,2588,3088
2089,2589,3089
2090,2590,3090
2091,2591,3091
2092,2592,3092
2093,2593,3093
2094,2594,3094
2095,2595,3095
2096,2596,3096
2097,2597,3097
2098,2598,3098
2099,2599,3099
2100,2600,3100
2101,2601,3101
2102,2602,3102
2103,2603,3103
2104,2604,3104
2105,2605,3105
2106,2606,3106
2107,2607,3107
2108,2608,3108
2109,2609,3109
2110,2610,3110
2111,2611,3111
2112,2612,3112
2113,2613,3113
2114,2614,3114
2115,2615,3115
2116,2616,3116
2117,2617,3117
2118,2618,3118
2119,2619,3119
2120,2620,3120
2121,2621,3121
2122,2622,3122
2123,2623,3123
2124,2624,3124
2125,2625,3125
2126,2626,3126
2127,2627,3127
2128,2628,3128
2129,2629,3129
2130,2630,3130
2131,2631,3131
2132,2632,3132
2133,2633,3133
2134,2634,3134
2135,2635,3135
2136,2636,3136
2137,2637,3137
2138,2638,3138
2139,2639,3139
2140,2640,3140
2141,2641,3141
2142,2642,3142
2143,2643,3143
2144,2644,3144
2145,2645,3145
2146,2646,3146
2147,2647,3147
2148,2648,3148
2149,2649,3149
2150,2650,3150
2151,2651,3151
2152,2652,3152
2153,2653,3153
2154,2654,3154
2155,2655,3155
2156,2656,3156
2157,2657,3157
2158,2658,3158
2159,2659,3159
2160,2660,3160
2161,2661,3161
2162,2662,3162
2163,2663,3163
2164,2664,3164
2165,2665,3165
2166,2666,3166
2167,2667,3167
2168,2668,3168
2169,2669,3169
2170,2670,3170
2171,2671,3171
2172,2672,3172
2173,2673,3173
2174,2674,3174
2175,2675,3175
2176,2676,3176
2177,2677,3177
2178,2678,3178
2179,2679,3179
2180,2680,3180
2181,2681,3181
2182,2682,3182
2183,2683,3183
2184,2684,3184
2185,2685,3185
2186,2686,3186
2187,2687,3187
2188,2688,3188
2189,2689,3189
2190,2690,3190
2191,2691,3191
2192,2692,3192
2193,2693,3193
2194,2694,3194
2195,2695,3195
2196,2696,3196
2197,2697,3197
2198,2698,3198
2199,2699,3199
2200,2700,3200
2201,2701,3201
2202,2702,3202
2203,2703,3203
2204,2704,3204
2205,2705,3205
2206,2706,3206
2207,2707,3207
2208,2708,3208
2209,2709,3209
2210,2710,3210
2211,2711,3211
2212,2712,3212
2213,2713,3213
2214,2714,3214
2215,2715,3215
2216,2716,3216
2217,2717,3217
2218,2718,3218
2219,2719,3219
2220,2720,3220
2221,2721,3221
2222,2722,3222
2223,2723,3223
2224,2724,3224
2225,2725,3225
2226,2726,3226
2227,2727,3227
2228,2728,3228
2229,2729,3229
2230,2730,3230
2231,2731,3231
2232,2732,3232
2233,2733,3233
2234,2734,3234
2235,2735,3235
2236,2736,3236
2237,2737,3237
2238,2738,3238
2239,2739,3239
2240,2740,3240
2241,2741,3241
2242,2742,3242
2243,2743,3243
2244,2744,3244
2245,2745,3245
2246,2746,3246
2247,2747,3247
2248,2748,3248
2249,2749,3249
2250,2750,3250
2251,2751,3251
2252,2752,3252
2253,2753,3253
2254,2754,3254
2255,2755,3255
2256,2756,3256
2257,2757,3257
2258,2758,3258
2259,2759,3259
2260,2760,3260
2261,2761,3261
2262,2762,3262
2263,2763,3263
2264,2764,3264
2265,2765,3265
2266,2766,3266
2267,2767,3267
2268,2768,3268
2269,2769,3269
2270,2770,3270
2271,2771,3271
2272,2772,3272
2273,2773,3273
2274,2774,3274
2275,2775,3275
2276,2776,3276
2277,2777,3277
2278,2778,3278
2279,2779,3279
2280,2780,3280
2281,2781,3281
2282,2782,3282
2283,2783,3283
2284,2784,3284
2285,2785,3285
2286,2786,3286
2287,2787,3287
2288,2788,3288
2289,2789,3289
2290,2790,3290
2291,2791,3291
2292,2792,3292
2293,2793,3293
2294,2794,3294
2295,2795,3295
2296,2796,3296
2297,2797,3297
2298,2798,3298
2299,2799,3299
2300,2800,3300
2301,2801,3301
2302,2802,3302
2303,2803,3303
2304,2804,3304
2305,2805,3305
2306,2806,3306
2307,2807,3307
2308,2808,3308
2309,2809,3309
2310,2810,3310
2311,2811,3311
2312,2812,3312
2313,2813,3313
2314,2814,3314
2315,2815,3315
2316,2816,3316
2317,2817,3317
2318,2818,3318
2319,2819,3319
2320,2820,3320
2321,2821,3321
2322,2822,3322
2323,2823,3323
2324,2824,3324
2325,2825,3325
2326,2826,3326
2327,2827,3327
2328,2828,3328
2329,2829,3329
2330,2830,3330
2331,2831,3331
2332,2832,3332
2333,2833,3333
2334,2834,3334
2335,2835,3335
2336,2836,3336
2337,2837,3337
2338,2838,3338
2339,2839,3339
2340,2840,3340
2341,2841,3341
2342,2842,3342
2343,2843,3343
2344,2844,3344
2345,2845,3345
2346,2846,3346
2347,2847,3347
2348,2848,3348
2349,2849,3349
2350,2850,3350
2351,2851,3351
2352,2852,3352
2353,2853,3353
2354,2854,3354
2355,2855,3355
2356,2856,3356
2357,2857,3357
2358,2858,3358
2359,2859,3359
2360,2860,3360
2361,2861,3361
2362,2862,3362
2363,2863,3363
2364,2864,3364
2365,2865,3365
2366,2866,3366
2367,2867,3367
2368,2868,3368
2369,2869,3369
2370,2870,3370
2371,2871,3371
2372,2872,3372
2373,2873,3373
2374,2874,3374
2375,2875,3375
2376,2876,3376
2377,2877,3377
2378,2878,3378
2379,2879,3379
2380,2880,3380
2381,2881,3381
2382,2882,3382
2383,2883,3383
2384,2884,3384
2385,2885,3385
2386,2886,3386
2387,2887,3387
2388,2888,3388
2389,2889,3389
2390,2890,3390
2391,2891,3391
2392,2892,3392
2393,2893,3393
2394,2894,3394
2395,2895,3395
2396,2896,3396
2397,2897,3397
2398,2898,3398
2399,2899,3399
2400,2900,3400
2401,2901,3401
2402,2902,3402
2403,2903,3403
2404,2904,3404
2405,2905,3405
2406,2906,3406
2407,2907,3407
2408,2908,3408
2409,2909,3409
2410,2910,3410
2411,2911,3411
2412,2912,3412
2413,2913,3413
2414,2914,3414
2415,2915,3415
2416,2916,3416
2417,2917,3417
2418,2918,3418
2419,2919,3419
2420,2920,3420
2421,2921,3421
2422,2922,3422
2423,2923,3423
2424,2924,3424
2425,2925,3425
2426,2926,3426
2427,2927,3427
2428,2928,3428
2429,2929,3429
2430,2930,3430
2431,2931,3431
2432,2932,3432
2433,2933,3433
2434,2934,3434
2435,2935,3435
2436,2936,3436
2437,2937,3437
2438,2938,3438
2439,2939,3439
2440,2940,3440
2441,2941,3441
2442,2942,3442
2443,2943,3443
2444,2944,3444
2445,2945,3445
2446,2946,3446
2447,2947,3447
2448,2948,3448
2449,2949,3449
2450,2950,3450
2451,2951,3451
2452,2952,3452
2453,2953,3453
2454,2954,3454
2455,2955,3455
2456,2956,3456
2457,2957,3457
2458,2958,3458
2459,2959,3459
2460,2960,3460
2461,2961,3461
2462,2962,3462
2463,2963,3463
2464,2964,3464
2465,2965,3465
2466,2966,3466
2467,2967,3467
2468,2968,3468
2469,2969,3469
2470,2970,3470
2471,2971,3471
2472,2972,3472
2473,2973,3473
2474,2974,3474
2475,2975,3475
2476,2976,3476
2477,2977,3477
2478,2978,3478
2479,2979,3479
2480,2980,3480
2481,2981,3481
2482,2982,3482
2483,2983,3483
2484,2984,3484
2485,2985,3485
2486,2986,3486
2487,2987,3487
2488,2988,3488
2489,2989,3489
2490,2990,3490
2491,2991,3491
2492,2992,3492
2493,2993,3493
2494,2994,3494
2495,2995,3495
2496,2996,3496
2497,2997,3497
2498,2998,3498
2499,2999,3499
2500,3000,3500
2501,3001,3501
2502,3002,3502
2503,3003,3503
2504,3004,3504
2505,3005,3505
2506,3006,3506
2507,3007,3507
2508,3008,3508
2509,3009,3509
2510,3010,3510
2511,3011,3511
2512,3012,3512
2513,3013,3513
2514,3014,3514
2515,3015,3515
2516,3016,3516
2517,3017,3517
2518,3018,3518
2519,3019,3519
2520,3020,3520
2521,3021,3521
2522,3022,3522
2523,3023,3523
2524,3024,3524
2525,3025,3525
2526,3026,3526
2527,3027,3527
2528,3028,3528
2529,3029,3529
2530,3030,3530
2531,3031,3531
2532,3032,3532
2533,3033,3533
2534,3034,3534
2535,3035,3535
2536,3036,3536
2537,3037,3537
2538,3038,3538
2539,3039,3539
2540,3040,3540
2541,3041,3541
2542,3042,3542
2543,3043,3543
2544,3044,3544
2545,3045,3545
2546,3046,3546
2547,3047,3547
2548,3048,3548
2549,3049,3549
2550,3050,3550
2551,3051,3551
2552,3052,3552
2553,3053,3553
2554,3054,3554
2555,3055,3555
2556,3056,3556
2557,3057,3557
2558,3058,3558
2559,3059,3559
2560,3060,3560
2561,3061,3561
2562,3062,3562
2563,3063,3563
2564,3064,3564
2565,3065,3565
2566,3066,3566
2567,3067,3567
2568,3068,3568
2569,3069,3569
2570,3070,3570
2571,3071,3571
2572,3072,3572
2573,3073,3573
2574,3074,3574
2575,3075,3575
2576,3076,3576
2577,3077,3577
2578,3078,3578
2579,3079,3579
2580,3080,3580
2581,3081,3581
2582,3082,3582
2583,3083,3583
2584,3084,3584
2585,3085,3585
2586,3086,3586
2587,3087,3587
2588,3088,3588
2589,3089,3589
2590,3090,3590
2591,3091,3591
2592,3092,3592
2593,3093,3593
2594,3094,3594
2595,3095,3595
2596,3096,3596
2597,3097,3597
2598,3098,3598
2599,3099,3599
2600,3100,3600
2601,3101,3601
2602,3102,3602
2603,3103,3603
2604,3104,3604
2605,3105,3605
2606,3106,3606
2607,3107,3607
2608,3108,3608
2609,3109,3609
2610,3110,3610
2611,3111,3611
2612,3112,3612
2613,3113,3613
2614,3114,3614
2615,3115,3615
2616,3116,3616
2617,3117,3617
2618,3118,3618
2619,3119,3619
2620,3120,3620
2621,3121,3621
2622,3122,3622
2623,3123,3623
2624,3124,3624
2625,3125,3625
2626,3126,3626
2627,3127,3627
2628,3128,3628
2629,3129,3629
2630,3130,3630
2631,3131,3631
2632,3132,3632
2633,3133,3633
2634,3134,3634
2635,3135,3635
2636,3136,3636
2637,3137,3637
2638,3138,3638
2639,3139,3639
2640,3140,3640
2641,3141,3641
2642,3142,3642
2643,3143,3643
2644,3144,3644
2645,3145,3645
2646,3146,3646
2647,3147,3647
2648,3148,3648
2649,3149,3649
2650,3150,3650
2651,3151,3651
2652,3152,3652
2653,3153,3653
2654,3154,3654
2655,3155,3655
2656,3156,3656
2657,3157,3657
2658,3158,3658
2659,3159,3659
2660,3160,3660
2661,3161,3661
2662,3162,3662
2663,3163,3663
2664,3164,3664
2665,3165,3665
2666,3166,3666
2667,3167,3667
2668,3168,3668
2669,3169,3669
2670,3170,3670
2671,3171,3671
2672,3172,3672
2673,3173,3673
2674,3174,3674
2675,3175,3675
2676,3176,3676
2677,3177,3677
2678,3178,3678
2679,3179,3679
2680,3180,3680
2681,3181,3681
2682,3182,3682
2683,3183,3683
2684,3184,3684
2685,3185,3685
2686,3186,3686
2687,3187,3687
2688,3188,3688
2689,3189,3689
2690,3190,3690
2691,3191,3691
2692,3192,3692
2693,3193,3693
2694,3194,3694
2695,3195,3695
2696,3196,3696
2697,3197,3697
2698,3198,3698
2699,3199,3699
2700,3200,3700
2701,3201,3701
2702,3202,3702
2703,3203,3703
2704,3204,3704
2705,3205,3705
2706,3206,3706
2707,3207,3707
2708,3208,3708
2709,3209,3709
2710,3210,3710
2711,3211,3711
2712,3212,3712
2713,3213,3713
2714,3214,3714
2715,3215,3715
2716,3216,3716
2717,3217,3717
2718,3218,3718
2719,3219,3719
2720,3220,3720
2721,3221,3721
2722,3222,3722
2723,3223,3723
2724,3224,3724
2725,3225,3725
2726,3226,3726
2727,3227,3727
2728,3228,3728
2729,3229,3729
2730,3230,3730
2731,3231,3731
2732,3232,3732
2733,3233,3733
2734,3234,3734
2735,3235,3735
2736,3236,3736
2737,3237,3737
2738,3238,3738
2739,3239,3739
2740,3240,3740
2741,3241,3741
2742,3242,3742
2743,3243,3743
2744,3244,3744
2745,3245,3745
2746,3246,3746
2747,3247,3747
2748,3248,3748
2749,3249,3749
2750,3250,3750
2751,3251,3751
2752,3252,3752
2753,3253,3753
2754,3254,3754
2755,3255,3755
2756,3256,3756
2757,3257,3757
2758,3258,3758
2759,3259,3759
2760,3260,3760
2761,3261,3761
2762,3262,3762
2763,3263,3763
2764,3264,3764
2765,3265,3765
2766,3266,3766
2767,3267,3767
2768,3268,3768
2769,3269,3769
2770,3270,3770
2771,3271,3771
2772,3272,3772
2773,3273,3773
2774,3274,3774
2775,3275,3775
2776,3276,3776
2777,3277,3777
2778,3278,3778
2779,3279,3779
2780,3280,3780
2781,3281,3781
2782,3282,3782
2783,3283,3783
2784,3284,3784
2785,3285,3785
2786,3286,3786
2787,3287,3787
2788,3288,3788
2789,3289,3789
2790,3290,3790
2791,3291,3791
2792,3292,3792
2793,3293,3793
2794,3294,3794
2795,3295,3795
2796,3296,3796
2797,3297,3797
2798,3298,3798
2799,3299,3799
2800,3300,3800
2801,3301,3801
2802,3302,3802
2803,3303,3803
2804,3304,3804
2805,3305,3805
2806,3306,3806
2807,3307,3807
2808,3308,3808
2809,3309,3809
2810,3310,3810
2811,3311,3811
2812,3312,3812
2813,3313,3813
2814,3314,3814
2815,3315,3815
2816,3316,3816
2817,3317,3817
2818,3318,3818
2819,3319,3819
2820,3320,3820
2821,3321,3821
2822,3322,3822
2823,3323,3823
2824,3324,3824
2825,3325,3825
2826,3326,3826
2827,3327,3827
2828,3328,3828
2829,3329,3829
2830,3330,3830
2831,3331,3831
2832,3332,3832
2833,3333,3833
2834,3334,3834
2835,3335,3835
2836,3336,3836
2837,3337,3837
2838,3338,3838
2839,3339,3839
2840,3340,3840
2841,3341,3841
2842,3342,3842
2843,3343,3843
2844,3344,3844
2845,3345,3845
2846,3346,3846
2847,3347,3847
2848,3348,3848
2849,3349,3849
2850,3350,3850
2851,3351,3851
2852,3352,3852
2853,3353,3853
2854,3354,3854
2855,3355,3855
2856,3356,3856
2857,3357,3857
2858,3358,3858
2859,3359,3859
2860,3360,3860
2861,3361,3861
2862,3362,3862
2863,3363,3863
2864,3364,3864
2865,3365,3865
2866,3366,3866
2867,3367,3867
2868,3368,3868
2869,3369,3869
2870,3370,3870
2871,3371,3871
2872,3372,3872
2873,3373,3873
2874,3374,3874
2875,3375,3875
2876,3376,3876
2877,3377,3877
2878,3378,3878
2879,3379,3879
2880,3380,3880
2881,3381,3881
2882,3382,3882
2883,3383,3883
2884,3384,3884
2885,3385,3885
2886,3386,3886
2887,3387,3887
2888,3388,3888
2889,3389,3889
2890,3390,3890
2891,3391,3891
2892,3392,3892
2893,3393,3893
2894,3394,3894
2895,3395,3895
2896,3396,3896
2897,3397,3897
2898,3398,3898
2899,3399,3899
2900,3400,3900
2901,3401,3901
2902,3402,3902
2903,3403,3903
2904,3404,3904
2905,3405,3905
2906,3406,3906
2907,3407,3907
2908,3408,3908
2909,3409,3909
2910,3410,3910
2911,3411,3911
2912,3412,3912
2913,3413,3913
2914,3414,3914
2915,3415,3915
2916,3416,3916
2917,3417,3917
2918,3418,3918
2919,3419,3919
2920,3420,3920
2921,3421,3921
2922,3422,3922
2923,3423,3923
2924,3424,3924
2925,3425,3925
2926,3426,3926
2927,3427,3927
2928,3428,3928
2929,3429,3929
2930,3430,3930
2931,3431,3931
2932,3432,3932
2933,3433,3933
2934,3434,3934
2935,3435,3935
2936,3436,3936
2937,3437,3937
2938,3438,3938
2939,3439,3939
2940,3440,3940
2941,3441,3941
2942,3442,3942
2943,3443,3943
2944,3444,3944
2945,3445,3945
2946,3446,3946
2947,3447,3947
2948,3448,3948
2949,3449,3949
2950,3450,3950
2951,3451,3951
2952,3452,3952
2953,3453,3953
2954,3454,3954
2955,3455,3955
2956,3456,3956
2957,3457,3957
2958,3458,3958
2959,3459,3959
2960,3460,3960
2961,3461,3961
2962,3462,3962
2963,3463,3963
2964,3464,3964
2965,3465,3965
2966,3466,3966
2967,3467,3967
2968,3468,3968
2969,3469,3969
2970,3470,3970
2971,3471,3971
2972,3472,3972
2973,3473,3973
2974,3474,3974
2975,3475,3975
2976,3476,3976
2977,3477,3977
2978,3478,3978
2979,3479,3979
2980,3480,3980
2981,3481,3981
2982,3482,3982
2983,3483,3983
2984,3484,3984
2985,3485,3985
2986,3486,3986
2987,3487,3987
2988,3488,3988
2989,3489,3989
2990,3490,3990
2991,3491,3991
2992,3492,3992
2993,3493,3993
2994,3494,3994
2995,3495,3995
2996,3496,3996
2997,3497,3997
2998,3498,3998
2999,3499,3999
3000,3500,4000
3001,3501,4001
3002,3502,4002
3003,3503,4003
3004,3504,4004
3005,3505,4005
3006,3506,4006
3007,3507,4007
3008,3508,4008
3009,3509,4009
3010,3510,4010
3011,3511,4011
3012,3512,4012
3013,3513,4013
3014,3514,4014
3015,3515,4015
3016,3516,4016
3017,3517,4017
3018,3518,4018
3019,3519,4019
3020,3520,4020
3021,3521,4021
3022,3522,4022
3023,3523,4023
3024,3524,4024
3025,3525,4025
3026,3526,4026
3027,3527,4027
3028,3528,4028
3029,3529,4029
3030,3530,4030
3031,3531,4031
3032,3532,4032
3033,3533,4033
3034,3534,4034
3035,3535,4035
3036,3536,4036
3037,3537,4037
3038,3538,4038
3039,3539,4039
3040,3540,4040
3041,3541,4041
3042,3542,4042
3043,3543,4043
3044,3544,4044
3045,3545,4045
3046,3546,4046
3047,3547,4047
3048,3548,4048
3049,3549,4049
3050,3550,4050
3051,3551,4051
3052,3552,4052
3053,3553,4053
3054,3554,4054
3055,3555,4055
3056,3556,4056
3057,3557,4057
3058,3558,4058
3059,3559,4059
3060,3560,4060
3061,3561,4061
3062,3562,4062
3063,3563,4063
3064,3564,4064
3065,3565,4065
3066,3566,4066
3067,3567,4067
3068,3568,4068
3069,3569,4069
3070,3570,4070
3071,3571,4071
3072,3572,4072
3073,3573,4073
3074,3574,4074
3075,3575,4075
3076,3576,4076
3077,3577,4077
3078,3578,4078
3079,3579,4079
3080,3580,4080
3081,3581,4081
3082,3582,4082
3083,3583,4083
3084,3584,4084
3085,3585,4085
3086,3586,4086
3087,3587,4087
3088,3588,4088
3089,3589,4089
3090,3590,4090
3091,3591,4091
3092,3592,4092
3093,3593,4093
3094,3594,4094
3095,3595,4095
3096,3596,4096
3097,3597,4097
3098,3598,4098
3099,3599,4099
3100,3600,4100
3101,3601,4101
3102,3602,4102
3103,3603,4103
3104,3604,4104
3105,3605,4105
3106,3606,4106
3107,3607,4107
3108,3608,4108
3109,3609,4109
3110,3610,4110
3111,3611,4111
3112,3612,4112
3113,3613,4113
3114,3614,4114
3115,3615,4115
3116,3616,4116
3117,3617,4117
3118,3618,4118
3119,3619,4119
3120,3620,4120
3121,3621,4121
3122,3622,4122
3123,3623,4123
3124,3624,4124
3125,3625,4125
3126,3626,4126
3127,3627,4127
3128,3628,4128
3129,3629,4129
3130,3630,4130
3131,3631,4131
3132,3632,4132
3133,3633,4133
3134,3634,4134
3135,3635,4135
3136,3636,4136
3137,3637,4137
3138,3638,4138
3139,3639,4139
3140,3640,4140
3141,3641,4141
3142,3642,4142
3143,3643,4143
3144,3644,4144
3145,3645,4145
3146,3646,4146
3147,3647,4147
3148,3648,4148
3149,3649,4149
3150,3650,4150
3151,3651,4151
3152,3652,4152
3153,3653,4153
3154,3654,4154
3155,3655,4155
3156,3656,4156
3157,3657,4157
3158,3658,4158
3159,3659,4159
3160,3660,4160
3161,3661,4161
3162,3662,4162
3163,3663,4163
3164,3664,4164
3165,3665,4165
3166,3666,4166
3167,3667,4167
3168,3668,4168
3169,3669,4169
3170,3670,4170
3171,3671,4171
3172,3672,4172
3173,3673,4173
3174,3674,4174
3175,3675,4175
3176,3676,4176
3177,3677,4177
3178,3678,4178
3179,3679,4179
3180,3680,4180
3181,3681,4181
3182,3682,4182
3183,3683,4183
3184,3684,4184
3185,3685,4185
3186,3686,4186
3187,3687,4187
3188,3688,4188
3189,3689,4189
3190,3690,4190
3191,3691,4191
3192,3692,4192
3193,3693,4193
3194,3694,4194
3195,3695,4195
3196,3696,4196
3197,3697,4197
3198,3698,4198
3199,3699,4199
3200,3700,4200
3201,3701,4201
3202,3702,4202
3203,3703,4203
3204,3704,4204
3205,3705,4205
3206,3706,4206
3207,3707,4207
3208,3708,4208
3209,3709,4209
3210,3710,4210
3211,3711,4211
3212,3712,4212
3213,3713,4213
3214,3714,4214
3215,3715,4215
3216,3716,4216
3217,3717,4217
3218,3718,4218
3219,3719,4219
3220,3720,4220
3221,3721,4221
3222,3722,4222
3223,3723,4223
3224,3724,4224
3225,3725,4225
3226,3726,4226
3227,3727,4227
3228,3728,4228
3229,3729,4229
3230,3730,4230
3231,3731,4231
3232,3732,4232
3233,3733,4233
3234,3734,4234
3235,3735,4235
3236,3736,4236
3237,3737,4237
3238,3738,4238
3239,3739,4239
3240,3740,4240
3241,3741,4241
3242,3742,4242
3243,3743,4243
3244,3744,4244
3245,3745,4245
3246,3746,4246
3247,3747,4247
3248,3748,4248
3249,3749,4249
3250,3750,4250
3251,3751,4251
3252,3752,4252
3253,3753,4253
3254,3754,4254
3255,3755,4255
3256,3756,4256
3257,3757,4257
3258,3758,4258
3259,3759,4259
3260,3760,4260
3261,3761,4261
3262,3762,4262
3263,3763,4263
3264,3764,4264
3265,3765,4265
3266,3766,4266
3267,3767,4267
3268,3768,4268
3269,3769,4269
3270,3770,4270
3271,3771,4271
3272,3772,4272
3273,3773,4273
